Date,Country,Confirmed,Deaths,Recovered
2020-04-06,Sri Lanka,7328,278,550
2020-04-05,India,8561,496,3632
2020-04-23,India,6745,588,826
2020-04-04,Nepal,9645,725,4619
2020-05-01,Bangladesh,8703,554,4135
2020-04-02,Sri Lanka,3727,322,3375
2020-04-05,Pakistan,7055,273,1325
2020-04-27,Nepal,4137,27,667
2020-04-30,Bangladesh,8329,821,158
2020-05-01,Sri Lanka,5529,336,3192
2020-04-10,Sri Lanka,2946,134,2243
2020-04-18,Sri Lanka,8251,470,4047
2020-04-08,Pakistan,8457,286,2834
2020-04-16,India,8359,74,1499
2020-04-14,Sri Lanka,8864,337,4588
2020-05-01,India,1042,32,215
2020-04-13,Nepal,9633,876,7082
2020-04-15,Pakistan,3731,355,1622
2020-04-26,India,9146,581,251
2020-04-15,Sri Lanka,6564,527,2457
2020-04-24,Nepal,1293,29,208
2020-04-21,India,6610,15,3722
2020-04-11,Sri Lanka,7170,347,1491
2020-05-01,Pakistan,3940,22,3745
2020-04-28,India,7804,12,6203
2020-04-12,Bangladesh,9552,826,4033
2020-04-21,Pakistan,5498,179,3557
2020-04-30,India,2356,95,1708
2020-04-23,Nepal,5994,86,5662
2020-04-22,Pakistan,2300,143,752
2020-04-28,Bangladesh,9517,240,1047
2020-04-22,Sri Lanka,8035,246,5726
2020-04-24,Pakistan,8112,225,6107
2020-04-12,India,8349,471,2067
2020-04-03,Sri Lanka,2544,57,535
2020-04-24,Sri Lanka,2766,168,863
2020-04-21,Nepal,9156,251,8619
2020-04-12,India,3576,53,1893
2020-04-01,India,3990,62,1114
2020-04-22,Nepal,2520,157,935
2020-04-09,Nepal,1047,44,801
2020-04-14,India,4932,222,3455
2020-04-27,Pakistan,6525,100,1800
2020-04-08,India,7231,95,4631
2020-04-14,Bangladesh,7886,175,6237
2020-04-18,India,5858,249,1411
2020-04-16,Bangladesh,8496,722,7661
2020-04-23,India,9007,81,497
2020-04-09,India,8496,228,7928
2020-04-06,Bangladesh,8887,821,5008
2020-04-28,Bangladesh,4988,474,3645
2020-04-02,Sri Lanka,8590,282,124
2020-04-01,India,4132,131,430
2020-04-27,Bangladesh,3783,131,3024
2020-04-06,Nepal,2824,226,1088
2020-04-11,India,7960,518,3571
2020-04-07,Pakistan,6435,111,880
2020-04-22,Pakistan,6166,591,2633
2020-04-13,Bangladesh,7493,579,2309
2020-04-23,Pakistan,5494,25,798
2020-04-01,Pakistan,2433,176,1030
2020-04-09,Sri Lanka,2254,197,1516
2020-04-09,Nepal,5795,399,841
2020-04-12,Bangladesh,3027,70,1595
2020-04-13,India,5298,299,898
2020-04-04,Bangladesh,3390,314,543
2020-04-29,India,4826,391,3834
2020-04-24,Sri Lanka,5294,260,2465
2020-04-26,Nepal,9778,241,1270
2020-04-14,Nepal,9774,662,6611
2020-04-20,India,4658,25,1691
2020-04-26,Bangladesh,1147,82,637
2020-04-14,Nepal,7370,490,1207
2020-04-03,Sri Lanka,4974,241,1834
2020-04-30,India,3072,191,380
2020-04-16,Pakistan,3854,311,3358
2020-04-28,Bangladesh,4696,402,1776
2020-04-20,India,6812,553,5405
2020-04-21,Bangladesh,4095,142,3290
2020-04-04,India,8530,729,349
2020-04-30,Sri Lanka,6313,610,3651
2020-04-18,Pakistan,1898,160,1335
2020-04-20,Pakistan,5797,118,1803
2020-04-29,India,4447,335,2476
2020-04-29,Bangladesh,3793,17,3193
2020-04-30,India,9488,88,8579
2020-04-12,India,4608,213,2154
2020-04-17,Nepal,1452,11,521
2020-05-01,Pakistan,3260,193,670
2020-04-13,Bangladesh,5918,546,2005
2020-04-11,Sri Lanka,3242,306,2458
2020-04-27,Sri Lanka,9485,948,2504
2020-04-29,Sri Lanka,2509,22,1289
2020-04-28,Nepal,4199,280,3902
2020-04-11,Nepal,7777,689,2771
2020-04-28,Bangladesh,5917,572,2940
2020-04-21,Sri Lanka,5296,330,4756
2020-04-01,Sri Lanka,3555,189,3324
2020-04-09,Bangladesh,5714,91,1650
2020-04-23,Sri Lanka,9433,245,2651
2020-04-24,Bangladesh,4897,207,2178
2020-04-05,Sri Lanka,3523,112,798
2020-04-07,Bangladesh,6545,332,716
2020-04-27,India,1864,134,466
2020-04-08,Sri Lanka,3238,317,2899
2020-04-14,Pakistan,7830,214,7470
2020-04-15,Bangladesh,7867,321,7499
2020-04-04,Pakistan,7306,582,2799
2020-04-26,India,4169,409,1376
2020-04-08,Bangladesh,3175,82,1226
2020-04-09,Bangladesh,5945,572,4642
2020-04-30,Sri Lanka,5798,131,3888
2020-04-02,India,8059,704,3593
2020-05-01,Pakistan,5003,335,4550
2020-04-03,India,7395,470,1390
2020-04-17,Nepal,6646,589,5849
2020-04-29,Sri Lanka,9280,300,5874
2020-04-20,Pakistan,2361,196,391
2020-04-22,Bangladesh,9771,640,4836
2020-04-05,Pakistan,4056,243,2784
2020-04-10,Bangladesh,8518,413,7488
2020-04-04,Nepal,5001,24,1701
2020-04-05,Pakistan,6293,397,1319
2020-04-29,Pakistan,7614,466,6654
2020-04-09,Sri Lanka,3060,23,182
2020-04-14,Nepal,4842,438,1580
2020-04-18,Bangladesh,6163,518,3698
2020-04-30,India,2804,55,353
2020-04-04,Bangladesh,6518,142,1274
2020-04-05,India,9966,279,4209
2020-04-25,India,1672,114,1158
2020-04-07,Bangladesh,3570,329,257
2020-04-25,India,3982,334,1385
2020-04-24,Pakistan,4446,268,3947
2020-04-30,Pakistan,8502,147,6748
2020-04-18,India,3046,68,595
2020-04-28,Nepal,1750,149,128
2020-04-13,Pakistan,8707,857,3885
2020-04-20,India,9084,888,6299
2020-04-24,Sri Lanka,3755,324,2255
2020-04-11,Sri Lanka,1913,140,901
2020-04-23,Sri Lanka,7460,492,1532
2020-04-18,India,5593,284,451
2020-04-15,Nepal,6444,197,5315
2020-04-15,India,4433,403,1346
2020-04-19,Nepal,5185,228,3092
2020-04-12,Bangladesh,7996,386,1611
2020-04-04,Pakistan,5845,258,934
2020-04-12,Nepal,8380,391,4866
2020-04-26,Bangladesh,8477,500,1047
2020-04-08,Bangladesh,2197,144,1849
2020-04-29,Sri Lanka,1721,164,138
2020-04-15,India,4778,409,1981
2020-04-05,India,9642,878,5007
2020-04-21,Pakistan,6230,274,1920
2020-04-01,India,4441,57,4171
2020-04-10,Bangladesh,6784,547,1118
2020-04-13,Nepal,4784,60,2169
2020-04-19,Nepal,6323,302,5737
2020-04-15,Pakistan,4337,219,1081
2020-04-21,Nepal,9742,972,5957
2020-04-27,Sri Lanka,9153,715,4274
2020-04-01,Sri Lanka,2553,65,1356
2020-04-22,Sri Lanka,4997,123,1630
2020-04-23,Bangladesh,2433,236,1183
2020-04-20,Bangladesh,1400,47,1290
2020-04-06,Nepal,8243,400,3764
2020-04-21,India,8278,623,3028
2020-04-16,Nepal,5979,321,3527
2020-04-29,Pakistan,7484,191,489
2020-04-20,Bangladesh,4594,293,3746
2020-04-21,Nepal,1195,83,471
2020-04-29,India,7875,488,3212
2020-04-28,Nepal,8201,310,803
2020-04-27,India,3637,50,1632
2020-04-08,Bangladesh,5275,236,2741
2020-04-09,Pakistan,5878,263,5112
2020-04-28,Sri Lanka,6085,49,2700
2020-04-29,Nepal,5056,191,3613
2020-04-24,India,6742,457,2431
2020-04-15,Nepal,8688,555,2583
2020-04-12,Sri Lanka,6268,252,4580
2020-04-30,Pakistan,7289,167,5582
2020-04-20,Bangladesh,6911,524,6368
2020-04-13,Pakistan,4335,280,3458
2020-04-22,Nepal,6375,632,4933
2020-04-23,Sri Lanka,8146,205,5246
2020-04-19,Pakistan,6312,96,3095
2020-04-13,Pakistan,5188,214,153
2020-04-16,Sri Lanka,5367,219,4222
2020-04-02,Sri Lanka,1350,115,969
2020-04-02,India,4732,363,3810
2020-04-17,Bangladesh,6484,311,500
2020-04-22,Pakistan,2096,159,317
2020-04-15,Nepal,6738,630,4947
2020-04-11,Pakistan,6694,439,1346
2020-04-12,Bangladesh,1051,53,448
2020-05-01,Pakistan,3311,136,1717
2020-04-01,Bangladesh,8276,524,7102
2020-04-06,Sri Lanka,3974,269,100
2020-04-15,Bangladesh,3944,229,1096
2020-04-27,Bangladesh,9234,536,8141
2020-04-10,India,9825,667,5353
2020-04-15,Sri Lanka,5846,323,3558
2020-04-07,India,1050,16,668
2020-04-18,India,2356,92,1891
2020-04-29,Bangladesh,8389,90,465
2020-04-24,Nepal,6774,19,4102
2020-04-20,Sri Lanka,4447,378,2497
2020-04-17,Sri Lanka,6847,125,6538
2020-04-09,Sri Lanka,8166,409,7348
2020-04-16,Sri Lanka,2570,46,530
2020-05-01,Sri Lanka,7429,302,2649
2020-04-27,India,5359,65,4884
2020-04-30,India,1384,63,1246
2020-04-23,Bangladesh,7772,601,1571
2020-05-01,Bangladesh,2398,52,1057
2020-04-12,India,5375,487,4734
2020-05-01,Sri Lanka,6866,101,5351
2020-04-12,India,4653,15,1462
2020-04-14,Pakistan,1689,21,1198
2020-05-01,Sri Lanka,5717,381,4056
2020-04-09,Pakistan,9400,882,457
2020-04-23,Nepal,8703,225,4082
2020-04-23,India,7055,467,5662
2020-04-01,Sri Lanka,3009,101,1191
2020-04-19,Sri Lanka,6017,326,4043
2020-04-27,Pakistan,9398,765,654
2020-04-09,Nepal,9688,717,8210
2020-04-24,Nepal,9056,11,7906
2020-04-10,Nepal,8271,781,7073
2020-04-20,India,7502,438,4181
2020-04-25,India,4008,24,902
2020-04-10,India,4208,150,2445
2020-04-05,Pakistan,8720,562,7722
2020-04-19,Pakistan,5555,429,2825
2020-04-12,Sri Lanka,9961,725,7545
2020-04-29,India,7911,690,1522
2020-04-17,India,5965,45,311
2020-04-17,Pakistan,2092,125,1930
2020-04-03,India,6667,98,5756
2020-04-15,Sri Lanka,5990,184,134
2020-04-20,Bangladesh,8761,497,2351
2020-04-25,Bangladesh,3616,296,1183
2020-04-10,India,4844,191,2020
2020-04-13,Nepal,4926,57,3966
2020-04-06,India,2651,89,1007
2020-04-08,India,4030,84,1256
2020-04-13,India,9467,576,3700
2020-04-01,Pakistan,4623,441,1958
2020-05-01,Nepal,3576,270,567
2020-04-01,Nepal,4101,82,1244
2020-04-30,India,4740,293,1137
2020-04-15,Sri Lanka,7163,382,5102
2020-04-14,Sri Lanka,7207,49,1436
2020-04-04,Sri Lanka,8336,592,3839
2020-04-05,Pakistan,3831,178,929
2020-04-02,Pakistan,6491,19,4667
2020-04-25,Pakistan,7266,71,1144
2020-04-13,Bangladesh,8719,547,8129
2020-04-08,Nepal,8022,780,2922
2020-04-08,Bangladesh,8604,384,7510
2020-04-26,Bangladesh,8660,177,3796
2020-04-08,Bangladesh,6899,466,1872
2020-04-04,Pakistan,1155,30,799
2020-04-01,Bangladesh,5954,87,2963
2020-04-06,Bangladesh,4503,80,2552
2020-04-08,Pakistan,9039,898,3628
2020-04-27,Sri Lanka,3226,148,1108
2020-04-25,Nepal,3927,226,2654
2020-04-01,India,3958,79,3690
2020-04-07,Bangladesh,6703,462,4275
2020-04-02,Bangladesh,7489,12,7288
2020-04-28,Nepal,5875,145,2851
2020-04-23,Bangladesh,1379,69,1128
2020-04-11,India,6285,569,4901
2020-04-10,Sri Lanka,1208,109,139
2020-04-08,Nepal,6100,104,4566
2020-04-10,India,1253,87,174
2020-04-16,Pakistan,8274,209,7111
2020-04-02,India,7158,181,6759
2020-04-20,Nepal,4682,367,2220
2020-04-11,India,8128,756,2419
2020-04-04,Pakistan,3133,68,796
2020-04-08,India,5130,250,3759
2020-04-30,India,3169,92,2636
2020-04-08,Nepal,1930,41,1355
2020-04-24,Pakistan,9856,760,8697
2020-04-14,Pakistan,1948,191,117
2020-04-27,Nepal,1822,82,332
2020-04-20,Pakistan,3931,18,1177
2020-04-22,Bangladesh,9886,254,4399
2020-04-25,Sri Lanka,8235,575,688
2020-04-02,Pakistan,3141,262,1700
2020-04-28,Bangladesh,2266,111,1517
2020-04-04,Pakistan,1222,30,551
2020-04-14,Sri Lanka,8428,523,5481
2020-04-02,Pakistan,4803,313,4192
2020-04-16,Sri Lanka,9963,632,4074
2020-04-28,Pakistan,8804,368,7679
2020-04-11,Pakistan,5782,570,3199
2020-04-25,Nepal,4533,351,588
2020-04-22,Pakistan,9996,848,4379
2020-04-06,Pakistan,5799,210,1486
2020-04-28,Sri Lanka,4609,457,4019
2020-04-04,Sri Lanka,6484,456,5319
2020-04-30,Pakistan,7404,324,4173
2020-04-20,Sri Lanka,5428,239,4351
2020-04-11,Sri Lanka,4993,444,3169
2020-04-12,India,4130,300,3291
2020-04-30,Bangladesh,5471,402,2679
2020-04-09,Bangladesh,8810,171,2760
2020-04-08,Nepal,5213,124,1295
2020-04-05,Pakistan,5694,11,4048
2020-04-07,Nepal,7428,633,2029
2020-04-28,Nepal,2707,256,620
2020-04-28,India,6551,183,1715
2020-05-01,India,5544,227,3697
2020-04-13,Pakistan,9700,549,7018
2020-04-29,Bangladesh,7850,663,103
2020-04-01,India,7464,482,519
2020-04-14,Bangladesh,9355,865,7055
2020-04-01,India,4000,110,3421
2020-04-20,Nepal,8525,723,3174
2020-04-09,India,1073,104,556
2020-04-10,Sri Lanka,1478,84,643
2020-04-26,Bangladesh,5233,258,2840
2020-04-21,Nepal,8772,624,5296
2020-04-20,Sri Lanka,7368,215,573
2020-04-12,Nepal,5484,436,2121
2020-04-05,Nepal,4347,123,3033
2020-04-12,Pakistan,9680,727,3900
2020-04-13,Bangladesh,7285,155,984
2020-04-12,Nepal,9835,951,6668
2020-04-10,Bangladesh,3277,176,1270
2020-04-05,Sri Lanka,5085,314,2460
2020-04-03,Sri Lanka,4584,19,3096
2020-04-11,Nepal,6613,123,1905
2020-04-22,India,9179,410,3717
2020-04-20,Pakistan,5980,112,3265
2020-05-01,India,7265,191,4818
2020-04-27,Bangladesh,3510,283,2164
2020-04-10,Nepal,5421,113,2542
2020-04-16,Nepal,2751,83,1184
2020-04-07,Sri Lanka,5925,24,4879
2020-04-20,India,5964,476,4551
2020-04-29,Nepal,6440,481,3170
2020-04-08,Pakistan,5240,215,3637
2020-04-29,Sri Lanka,7848,480,757
2020-04-07,Bangladesh,2351,101,610
2020-05-01,Nepal,2512,87,250
2020-04-04,India,1812,111,1301
2020-04-15,Bangladesh,4595,141,832
2020-04-27,Nepal,3344,332,2450
2020-04-13,Bangladesh,1430,48,1070
2020-04-03,India,7735,569,6923
2020-04-02,Pakistan,1494,89,1189
2020-04-23,Bangladesh,7678,258,1724
2020-04-13,Sri Lanka,8917,444,6791
2020-04-03,India,2390,167,1124
2020-04-17,Nepal,1487,82,392
2020-04-09,Pakistan,2961,155,966
2020-04-24,Sri Lanka,6720,187,5564
2020-04-30,Nepal,2332,183,290
2020-04-12,Nepal,5428,235,4010
2020-04-01,Nepal,9934,730,8404
2020-04-01,India,3759,351,2039
2020-04-17,Bangladesh,4551,177,1647
2020-04-15,Bangladesh,1529,103,643
2020-04-24,Bangladesh,5610,462,3563
2020-04-03,Sri Lanka,9102,426,163
2020-04-08,Nepal,9480,84,7343
2020-04-30,Sri Lanka,1540,116,1111
2020-04-04,Bangladesh,5014,143,1744
2020-04-05,Sri Lanka,5595,409,1145
2020-04-01,Nepal,2908,282,1822
2020-04-09,Bangladesh,1710,100,1339
2020-04-03,Bangladesh,6123,114,3782
2020-05-01,Sri Lanka,2401,74,986
2020-04-27,Pakistan,3016,71,933
2020-04-21,Sri Lanka,9910,801,3937
2020-04-27,Nepal,3423,123,2013
2020-04-11,Pakistan,5544,474,4497
2020-04-28,Sri Lanka,1412,65,826
2020-04-06,India,4529,44,2757
2020-04-11,Pakistan,6713,270,5239
2020-05-01,Nepal,6545,166,4609
2020-04-08,India,1065,82,313
2020-04-11,Pakistan,7634,317,268
2020-04-14,India,1716,13,658
2020-04-15,Pakistan,1638,108,1134
2020-04-28,Pakistan,8548,382,761
2020-04-23,Sri Lanka,7801,683,4775
2020-05-01,Pakistan,8680,331,4151
2020-04-10,Bangladesh,2864,79,2497
2020-04-12,Pakistan,9894,271,5379
2020-04-09,Bangladesh,2989,79,2000
2020-04-22,Bangladesh,1395,100,1145
2020-04-02,India,5265,147,4857
2020-04-29,Pakistan,1838,67,256
2020-04-09,India,8273,519,2409
2020-04-25,India,7962,439,5890
2020-04-12,Pakistan,8062,119,5414
2020-04-17,Nepal,6672,542,2276
2020-04-10,Nepal,6722,397,1022
2020-04-10,Pakistan,5104,464,2102
2020-04-12,Nepal,7798,735,2398
2020-04-03,Sri Lanka,4411,155,3677
2020-04-08,India,8324,674,5700
2020-04-15,Bangladesh,6671,527,401
2020-04-11,Pakistan,3085,143,2398
2020-04-19,Pakistan,2978,234,377
2020-04-01,Nepal,6149,355,1857
2020-04-28,Nepal,6702,225,124
2020-04-07,Nepal,3213,223,379
2020-04-30,Pakistan,8269,283,2055
2020-05-01,Nepal,1141,51,652
2020-04-24,India,5169,157,2111
2020-04-29,India,3916,311,502
2020-04-03,Sri Lanka,6907,515,3460
2020-04-20,India,7865,527,5787
2020-04-27,India,5265,412,3984
2020-04-14,Sri Lanka,5437,279,1958
2020-04-01,Bangladesh,2848,232,2139
2020-04-29,India,8598,295,6103
2020-04-19,Sri Lanka,4406,155,923
2020-04-07,Bangladesh,9211,453,7567
2020-04-01,Sri Lanka,4463,18,3889
2020-04-13,Sri Lanka,4547,400,158
2020-05-01,Sri Lanka,3782,265,2054
2020-04-29,Nepal,8441,501,7504
2020-04-06,Sri Lanka,5037,421,455
2020-04-29,Bangladesh,1650,32,1523
2020-04-21,India,4869,187,4345
2020-04-27,Bangladesh,8061,452,4568
2020-04-01,Pakistan,8402,315,2316
2020-04-23,Nepal,7382,412,2509
2020-04-30,Bangladesh,8203,235,555
2020-04-28,Pakistan,4771,185,3090
2020-04-20,Pakistan,1220,55,533
2020-04-21,Pakistan,9877,801,4898
2020-04-20,Pakistan,4838,152,2023
2020-04-10,Bangladesh,9413,120,2023
2020-04-11,Nepal,3785,23,682
2020-04-24,India,3492,298,619
2020-04-17,Sri Lanka,8480,42,7838
2020-04-10,Nepal,7987,772,547
2020-04-05,Sri Lanka,4831,26,2935
2020-04-11,India,6407,564,5488
2020-04-26,Nepal,5528,127,1683
2020-04-10,Nepal,6760,571,3606
2020-04-11,India,8759,186,281
2020-04-30,India,6036,378,5248
2020-04-18,India,2356,139,1479
2020-04-14,Sri Lanka,9922,536,6558
2020-04-29,Pakistan,6649,278,6209
2020-04-08,Pakistan,9774,281,5690
2020-04-12,Nepal,1421,37,443
2020-04-06,Nepal,1655,32,1348
2020-04-16,Bangladesh,5866,12,5463
2020-04-23,India,8279,332,3040
2020-04-16,Pakistan,3078,217,2254
2020-04-26,Bangladesh,1983,189,363
2020-04-22,Pakistan,2229,201,1959
2020-04-16,Nepal,8276,71,6091
2020-04-20,Nepal,7002,481,4234
2020-04-02,Sri Lanka,2842,262,348
2020-04-13,Bangladesh,7308,632,5814
2020-04-25,Sri Lanka,1631,13,312
2020-04-21,Nepal,8584,349,4104
2020-04-18,Pakistan,4527,380,946
2020-04-10,Bangladesh,6814,660,6037
2020-04-14,India,7422,676,1943
2020-04-03,India,5641,537,4044
2020-04-17,Sri Lanka,4043,321,155
2020-04-27,Pakistan,2620,128,408
2020-04-19,Nepal,5609,545,1529
2020-05-01,India,1887,61,381
2020-04-28,Nepal,9382,437,6631
2020-04-01,Bangladesh,9732,69,3191
2020-04-01,Bangladesh,1199,83,934
2020-04-14,Nepal,3689,95,3471
2020-04-27,Sri Lanka,5697,174,4730
2020-04-10,Sri Lanka,5092,481,859
2020-04-01,Sri Lanka,6705,456,327
2020-04-16,Bangladesh,8721,470,2227
2020-04-06,Nepal,6461,63,949
2020-04-18,India,6780,198,2848
2020-04-19,India,1859,90,229
2020-04-11,India,3639,354,960
2020-04-22,Bangladesh,5349,481,3546
2020-04-18,Pakistan,4946,176,2838
2020-04-27,India,5168,148,289
2020-04-26,Bangladesh,3194,54,136
2020-04-22,Pakistan,8120,449,4845
2020-04-10,India,8587,24,5198
2020-04-14,Pakistan,4086,63,2406
2020-04-05,Pakistan,3865,333,3373
2020-04-28,Bangladesh,6066,350,4496
2020-04-26,Bangladesh,5434,319,2656
2020-04-21,Pakistan,3648,321,2798
2020-04-09,Bangladesh,2717,141,680
2020-04-10,India,8603,526,4999
2020-04-11,Pakistan,1976,192,253
2020-04-04,India,6174,437,2372
2020-04-28,Bangladesh,8756,803,1929
2020-04-27,Nepal,5492,129,2603
2020-04-09,Nepal,7782,733,5304
2020-04-20,Sri Lanka,6496,88,5995
2020-04-13,India,7672,681,3164
2020-04-19,Pakistan,6638,55,1356
2020-04-21,Bangladesh,7165,509,234
2020-04-29,Bangladesh,9299,445,7453
2020-04-01,Bangladesh,2860,32,1505
2020-04-13,Sri Lanka,4888,363,4270
2020-04-18,India,8922,174,2041
2020-04-12,Nepal,8915,423,5562
2020-04-15,India,3990,320,1361
2020-04-13,Pakistan,7351,573,1635
2020-04-22,India,5737,90,4063
